"SpID"	"SpeciesID"	"Description"	"LightTrap"	"Drift"	"Benthic"	"Sticky"	"Malaise"	"Pitfall"	"FishGut"	"Fish"	"RegressionA"	"RegressionB"	"Kingdom"	"Phylum"	"Class"	"Order"	"Suborder"	"Superfamily"	"Family"	"Subfamily"	"Genus"	"Species"	"Habitat"	"Stage"	"FFG"	"Notes"
51	"SIMA"	"Diptera: Simuliidae (Adult)"	1	1	1	1	1	1	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Simuliidae"	""	""	""	"Aquatic"	"Adult"	"CollectorFilterer"	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
52	"SIML"	"Diptera: Simuliidae: Simulium spp. (Larva)"	1	1	1	0	0	0	1	0	0.002	3.01	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Simuliidae"	"Simuliinae"	"Simulium"	""	"Aquatic"	"Larva"	"CollectorFilterer"	"Length-mass regression values from Benke et al. 1999, Table 4."
53	"SIMP"	"Diptera: Simuliidae (Pupa)"	0	1	1	0	0	0	1	0	0.002	3.01	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Simuliidae"	""	""	""	"Aquatic"	"Pupa"	"CollectorFilterer"	"Length-mass regression values from Benke et al. 1999, Table 4, for larvae."
56	"TABA"	"Diptera: Tabanidae (Adult)"	1	0	0	0	0	0	0	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Tabanoidea"	"Tabanidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
58	"DIPT"	"Diptera (Adult)"	1	1	1	1	1	1	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Sabo et al. 2002, Table 2."
59	"TIPA"	"Diptera: Tipulidae (Adult)"	1	1	0	1	1	0	0	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Tipuloidea"	"Tipulidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
60	"TIPL"	"Diptera: Tipulidae (Larva)"	0	1	1	0	0	0	1	0	0.0029	2.68	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Tipuloidea"	"Tipulidae"	""	""	""	"Aquatic"	"Larva"	"Shredder"	"Length-mass regression values from Benke et al. 1999, Table 4."
62	"EPHL"	"Ephemeroptera (Larva)"	1	1	1	0	0	1	1	0	0.0071	2.83	"Animalia"	"Arthropoda"	"Insecta"	"Ephemeroptera"	""	""	""	""	""	""	"Aquatic"	"Larva"	""	"Length-mass regression values from Benke et al. 1999, Table 2."
63	"EPHA"	"Ephemeroptera (Adult)"	1	1	0	1	0	0	1	0	0.01	2.49	"Animalia"	"Arthropoda"	"Insecta"	"Ephemeroptera"	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2."
64	"BHS"	"Cyprinoformes: Catostomidae: Catostomus discobolus (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cobitoidea"	"Catostomidae"	"Catostominae"	"Catostomus"	"discobolus"	"Aquatic"	"Adult"	""	""
65	"FEGG"	"Actinopterygii (Egg)"	0	1	1	0	0	0	1	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	""	""	""	""	""	""	""	"Aquatic"	"Egg"	""	""
66	"FMS"	"Cyprinoformes: Catostomidae: Catostomus latipinnis (Adult)"	0	1	0	0	0	0	1	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cobitoidea"	"Catostomidae"	"Catostominae"	"Catostomus"	"latipinnis"	"Aquatic"	"Adult"	""	""
67	"HBC"	"Cyprinoformes: Cyprinidae: Gila cypha (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cyprinoidea"	"Cyprinidae"	"Leuciscinae"	"Gila"	"cypha"	"Aquatic"	"Adult"	""	""
68	"RBT"	"Salmoniformes: Salmonidae: Oncorhynchus mykiss (Adult)"	0	0	0	0	0	0	1	1	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonoidei"	"Salmonoidea"	"Salmonidae"	"Salmoninae"	"Oncorhynchus"	"mykiss"	"Aquatic"	"Adult"	""	""
69	"FHM"	"Cyprinoformes: Cyprinidae: Pimephales promelas (Adult)"	0	0	0	0	0	0	0	1	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cyprinoidea"	"Cyprinidae"	"Leuciscinae"	"Pimephales"	"promelas"	"Aquatic"	"Adult"	""	""
70	"SPD"	"Cyprinoformes: Cyprinidae: Rhinichthys osculus (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cyprinoidea"	"Cyprinidae"	"Leuciscinae"	"Rhinichthys"	"osculus"	"Aquatic"	"Adult"	""	""
71	"BNT"	"Salmoniformes: Salmonidae: Salmo trutta (Adult)"	0	0	0	0	0	0	0	1	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonoidei"	"Salmonoidea"	"Salmonidae"	"Salmoninae"	"Salmo"	"trutta"	"Aquatic"	"Adult"	""	""
72	"CYP"	"Cyprinoformes (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	""	""	""	""	""	""	"Aquatic"	"Adult"	""	""
73	"SUC"	"Cyprinoformes: Catostomidae (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Cyprinoformes"	"Cyprinoidei"	"Cobitoidea"	"Catostomidae"	""	""	""	"Aquatic"	"Adult"	""	""
74	"FISH"	"Actinopterygii (Adult)"	0	1	1	0	0	0	1	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	""
76	"NZMS"	"Littorinimorpha: Tateidae: Potamopyrgus antipodarum (Adult)"	1	1	1	0	0	1	1	0	0.02	2.43	"Animalia"	"Mollusca"	"Gastropoda"	"Littorinimorpha"	"Hypogastropoda"	"Truncatelloidea"	"Tateidae"	"Tateinae"	"Potamopyrgus"	"antipodarum"	"Aquatic"	"Adult"	""	"Length-mass regression values from Cross et al. 2010, Methods text, for AFDM."
77	"LIMP"	"Gastropoda (Adult)"	0	1	1	0	0	0	0	0	0.02	2.76	"Animalia"	"Mollusca"	"Gastropoda"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Benke et al. 1999, Appendix 2, average of Gastropoda values."
78	"GASN"	"Gastropoda (Adult)"	0	1	0	0	0	0	1	0	0.02	2.76	"Animalia"	"Mollusca"	"Gastropoda"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Benke et al. 1999, Appendix 2, average of Gastropoda values."
79	"PHYS"	"Hygrophila: Physidae (Adult)"	0	1	1	0	0	0	1	0	0.02	2.76	"Animalia"	"Mollusca"	"Gastropoda"	"Hygrophila"	"Branchiopulmonata"	"Planorboidea"	"Physidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Benke et al. 1999, Appendix 2, average of Gastropoda values."
82	"CORI"	"Hemiptera: Corixidae (Adult)"	1	1	1	0	0	0	0	0	0.0031	2.9	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Heteroptera"	"Corixoidea"	"Corixidae"	""	""	""	"Aquatic"	"Adult"	"ScraperGrazer"	"Length-mass regression values from Benke et al. 1999, Appendix 1, for Sigara spp., for dry mass."
83	"HEMA"	"Hemiptera (Adult)"	1	1	1	1	1	1	1	0	3.07	-4.78	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Sample et al. 1993, Table 1. "
84	"COLL"	"Collembola (Adult)"	1	1	1	1	1	1	1	0	0.0024	3.67	"Animalia"	"Arthropoda"	"Entognatha"	"Collembola"	""	""	""	""	""	""	"Intermediate"	"Adult"	"Generalist"	"Length-mass regression values from Hodar 1996, Table 2."
87	"FORM"	"Hymenoptera: Formicidae (Adult)"	1	1	0	1	1	1	1	0	0.02	2.66	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apocrita"	"Formicoidea"	"Formicidae"	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Sabo et al. 2002, Table 3."
91	"HYMA"	"Hymenoptera (Adult)"	1	1	1	1	1	1	1	0	0.56	1.56	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Sabo et al. 2002, Table 2."
92	"INSM"	"Insecta (Adult)"	0	1	1	1	0	0	1	0	0.12	2.48	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, average value for terrestrial insects. "
94	"CISP"	"Lepidoptera: Erebidae: Cisthene spp. (Adult)"	1	0	0	1	1	0	1	0	2.65	-3.75	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Glossota"	"Noctuoidea"	"Erebidae"	"Arctiinae"	"Cisthene"	""	"Terrestrial"	"Adult"	""	"Likely almost always C. angelus. Family formerly Arctiidae. Length-mass regression values from Sample et al. 1993, Table 1, for Arctiidae."
97	"CLAM"	"Veneroida: Corbiculoidea (Superfamily) (Adult)"	0	1	1	0	0	0	1	0	0.01	2.47	"Animalia"	"Mollusca"	"Bivalvia"	"Veneroida"	"Sphaeriacea"	"Corbiculoidea"	""	""	""	""	"Aquatic"	"Adult"	"CollectorFilterer"	"Generally Pisidiidae or Corbicula. Length-mass regression values from Benke et al. 1999, Appendix 2, for Pisidium spp. "
98	"NEMA"	"Nematoda (Adult)"	1	1	1	0	0	0	1	0	0.39	2.08	"Animalia"	"Nematoda"	""	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Hodar 1996, Table 2."
102	"NOBU"	"Empty"	1	1	1	1	0	1	1	0	NA	NA	"Empty"	""	""	""	""	""	""	""	""	""	""	""	""	""
103	"DRAA"	"Odonata: Anisoptera (Suborder) (Adult)"	1	0	0	0	0	0	0	0	0.14	2.27	"Animalia"	"Arthropoda"	"Insecta"	"Odonata"	"Anisoptera"	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Odonata."
104	"DRAL"	"Odonata: Anisoptera (Suborder) (Larva)"	0	1	0	0	0	0	0	0	0.46	2.88	"Animalia"	"Arthropoda"	"Insecta"	"Odonata"	"Anisoptera"	""	""	""	""	""	"Aquatic"	"Larva"	""	"Length-mass regression values from Benke et al. 1999, Appendix 1, average of values for all species of Anisoptera. "
105	"DAMA"	"Odonata: Zygoptera (Suborder) (Adult)"	1	0	0	0	0	0	0	0	0.14	2.27	"Animalia"	"Arthropoda"	"Insecta"	"Odonata"	"Zygoptera"	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Odonata."
106	"DAML"	"Odonata: Zygoptera (Suborder) (Larva)"	0	1	1	0	0	0	0	0	0.21	2.84	"Animalia"	"Arthropoda"	"Insecta"	"Odonata"	"Zygoptera"	""	""	""	""	""	"Aquatic"	"Larva"	"Predator"	"Length-mass regression values from Benke et al. 1999, Appendix 1, average of all values for species of Zygoptera. "
109	"ORTH"	"Orthoptera (Adult)"	1	1	0	1	0	1	1	0	0.03	2.55	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Herbivore"	"Length-mass regression values from Sabo et al. 2002, Table 2."
110	"OSTR"	"Ostracoda (Adult)"	0	1	1	0	0	0	0	0	0.0016	4.24	"Animalia"	"Arthropoda"	"Ostracoda"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from unknown source."
111	"PLAN"	"Tricladida: Planariidae (Adult)"	0	1	1	0	0	0	1	0	0.0095	2.15	"Animalia"	"Platyhelminthes"	"Rhabditophora"	"Tricladida"	"Continenticola"	"Planarioidea"	"Planariidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Benke et al. 1999, Appendix 1, average of two species values."
112	"TARD"	"Tardigrada (Adult)"	0	1	1	0	0	0	0	0	NA	NA	"Animalia"	"Tardigrada"	""	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	""
115	"THYS"	"Thysanoptera (Adult)"	1	1	1	1	1	1	1	0	0.0071	2.53	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Herbivore"	"Length-mass regression values from Hodar 1996, Table 2."
116	"HYPL"	"Trichoptera: Hydropsychidae (Larva)"	0	1	1	0	0	0	0	0	0.0046	2.92	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	"Annulipalpia"	"Hydropsychoidea"	"Hydropsychidae"	""	""	""	"Aquatic"	"Larva"	"CollectorFilterer"	"Length-mass regression values from Benke et al. 1999, Table 4."
117	"HYDL"	"Trichoptera: Hydroptilidae (Larva)"	0	1	1	0	0	0	1	0	0.0056	2.83	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	"Spicipalpia"	"Hydroptiloidea"	"Hydroptilidae"	""	""	""	"Aquatic"	"Larva"	"ScraperGrazer"	"Length-mass regression values from Benke et al. 1999, Table 2, for Trichoptera."
119	"HYDA"	"Trichoptera: Hydroptilidae (Adult)"	1	1	1	1	1	0	1	0	0.01	2.41	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	"Spicipalpia"	"Hydroptiloidea"	"Hydroptilidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Trichoptera."
120	"RHYL"	"Trichoptera: Rhyacophilidae: Rhyacophila spp. (Larva)"	0	1	1	0	0	0	1	0	0.0099	2.48	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	"Spicipalpia"	"Rhyacophiloidea"	"Rhyacophilidae"	"Rhyacophilinae"	"Rhyacophila"	""	"Aquatic"	"Larva"	"Predator"	"Length-mass regression values from Benke et al. 1999, Appendix 1."
121	"TRIL"	"Trichoptera (Larva)"	1	1	1	0	0	0	1	0	0.0056	2.83	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	""	""	""	""	""	""	"Aquatic"	"Larva"	""	"Length-mass regression values from Benke et al. 1999, Table 2."
122	"TRIA"	"Trichoptera (Adult)"	1	1	1	1	0	0	1	0	0.01	2.9	"Animalia"	"Arthropoda"	"Insecta"	"Trichoptera"	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2."
123	"CICA"	"Hemiptera: Cicadidae (Adult)"	1	1	0	0	0	0	1	0	0.004	3.37	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Auchenorrhyncha"	"Cicadoidea"	"Cicadidae"	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2."
125	"TAMA"	"Coleoptera: Chrysomelidae: Diorhabda elongata-complex (Adult)"	1	1	0	1	1	1	1	0	0.04	2.64	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Polyphaga"	"Chrysomeloidea"	"Chrysomelidae"	"Galerucinae"	"Diorhabda"	"elongata-complex"	"Terrestrial"	"Adult"	"Herbivore"	"Length-mass regression values from Sabo et al. 2002, Table 2, for Coleoptera. "
129	"BLAT"	"Blattodea (Adult)"	1	1	0	0	0	0	0	0	0.04	2.34	"Animalia"	"Arthropoda"	"Insecta"	"Blattodea"	""	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Hodar 1996, Table 2, for Blattodea. "
130	"ISOP"	"Isopoda (Adult)"	0	0	0	0	0	1	1	0	0.0054	2.94	"Animalia"	"Arthropoda"	"Malacostraca"	"Isopoda"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Benke et al. 1999, Table 4."
131	"STAA"	"Coleoptera: Staphylinidae (Adult)"	1	1	1	1	1	1	1	0	0.001	4.02	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Polyphaga"	"Staphylinoidea"	"Staphylinidae"	""	""	""	"Intermediate"	"Adult"	"PredatorWanderer"	"Length-mass regression values from Sabo et al. 2002, Table 3."
132	"EMPA"	"Diptera: Empididae (Adult)"	1	1	0	1	1	0	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Empidoidea"	"Empididae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera. "
160	"TICK"	"Ixodida (Adult)"	1	1	1	0	0	1	0	0	0.05	2.33	"Animalia"	"Arthropoda"	"Arachnida"	"Ixodida"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Parasite"	"Length-mass regression values from Gruner 2003, Table 2, for Arachnida. "
185	"GSF"	"Perciformes: Centrarchidae: Lepomis cyanellus (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Perciformes"	"Percoidei"	"Percoidea"	"Centrarchidae"	"Lepominae"	"Lepomis"	"cyanellus"	"Aquatic"	"Adult"	""	""
196	"HYTR"	"Coleoptera: Hydrophilidae: Hydrophilus triangularis (Adult)"	1	0	0	0	0	0	0	0	0.04	2.64	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Polyphaga"	"Hydrophiloidea"	"Hydrophilidae"	"Hydrophilinae"	"Hydrophilus"	"triangularis"	"Aquatic"	"Adult"	"CollectorGatherer"	"Length-mass regression values from Sabo et al. 2002, Table 2, for Coleoptera. "
197	"CICI"	"Coleoptera: Carabidae: Cicindelinae (Subfamily) (Adult)"	1	0	0	0	0	0	0	0	0.005	2.73	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Adephaga"	"Caraboidea"	"Carabidae"	"Cicindelinae"	""	""	"Intermediate"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 3, for Carabidae."
198	"PSEU"	"Pseudoscorpiones (Adult)"	1	1	0	0	0	0	0	0	0.05	2.33	"Animalia"	"Arthropoda"	"Arachnida"	"Pseudoscorpiones"	""	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Gruner 2003, Table 2, for Arachnida. "
200	"EMPP"	"Diptera: Empididae (Pupa)"	0	1	1	0	0	0	1	0	0.0054	2.54	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Empidoidea"	"Empididae"	""	""	""	"Aquatic"	"Pupa"	"Predator"	"Length-mass regression values from Benke et al. 1999, Table 4, for larvae."
201	"SMB"	"Perciformes: Centrarchidae: Micropterus dolomieu (Adult)"	0	0	0	0	0	0	0	0	NA	NA	"Animalia"	"Chordata"	"Actinopterygii"	"Perciformes"	"Percoidei"	"Percoidea"	"Centrarchidae"	"Lepominae"	"Micropterus"	"dolomieu"	"Aquatic"	"Adult"	""	""
202	"OPST"	"Hemiptera: Cicadellidae: Opsius stactogalus (Adult)"	1	0	0	1	1	0	0	0	0.07	2.22	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Auchenorrhyncha"	"Cicadoidea"	"Cicadellidae"	"Deltocephalinae"	"Opsius"	"stactogalus"	"Terrestrial"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 3, for Cicadellidae."
